run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v0_B_base_openai_20260729T151509185119,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v0_B_base_openai_20260729T151509185119,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v0_B_base_openai_20260729T151509185119,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v0_B_base_openai_20260729T151509185119,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v0_B_base_openai_20260729T151509185119,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openai_20260729T151509185119,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v0_B_base_openai_20260729T151509185119,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v0_B_base_openai_20260729T151509185119,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R08_out_of_scope,False,out_of_scope,unexpected_tool_call,no_tool,send,False,False,False,expected no tool call
v0_B_base_openai_20260729T151509185119,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v0_B_base_openai_20260729T151509185119,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R10_missing_handle,False,missing_info,missing_tool_call,clarify,timeline,False,False,False,missing tool call clarify; extra tool call timeline
v0_B_base_openai_20260729T151509185119,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R11_missing_url,False,missing_info,missing_tool_call,clarify,fetch,False,False,False,missing tool call clarify; extra tool call fetch
v0_B_base_openai_20260729T151509185119,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R12_confirm_before_send,False,wrong_boundary,missing_tool_call,clarify,send,False,False,False,missing tool call clarify; extra tool call send
v0_B_base_openai_20260729T151509185119,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R13_parallel_web_and_tweets,False,wrong_tool,wrong_arg_value,lookup|social_search,lookup|social_search,False,True,False,"query: expected 'AI', got 'AI news'; topic: expected 'news', got None"
v0_B_base_openai_20260729T151509185119,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R14_out_of_scope_coding,False,out_of_scope,unexpected_tool_call,no_tool,send,False,False,False,expected no tool call
v0_B_base_openai_20260729T151509185119,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v0_B_base_openai_20260729T151509185119,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v0_B_base_openai_20260729T151509185119,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openai_20260729T151509185119,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v0_B_base_openai_20260729T151509185119,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openai_20260729T151509185119,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v0_B_base_openrouter_20260729T150606014945,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R01_user_tweets_routing,False,wrong_tool,provider_error,timeline,,False,False,False,"InternalServerError: Error code: 503 - {'error': {'message': 'Provider returned error', 'code': 503, 'metadata': {'raw': '{""error"":{""code"":""model_unavailable"",""message"":""no online provider for model \\""gpt-oss-20b\\"" advertises inference-time tool_choice enforcement"",""param"":""model"",""type"":""model_unavailable""}}\n', 'provider_name': 'Darkbloom', 'is_byok': False, 'provider_error_code': 'model_unavailable'}}, 'user_id': 'user_3HAUot1uQY1gxzkyrPDs0hd4A1j'}"
v0_B_base_openrouter_20260729T150606014945,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R02_search_tweets_routing,False,wrong_tool,provider_error,social_search,,False,False,False,"InternalServerError: Error code: 503 - {'error': {'message': 'Provider returned error', 'code': 503, 'metadata': {'raw': '{""error"":{""code"":""model_unavailable"",""message"":""no online provider for model \\""gpt-oss-20b\\"" advertises inference-time tool_choice enforcement"",""param"":""model"",""type"":""model_unavailable""}}\n', 'provider_name': 'Darkbloom', 'is_byok': False, 'provider_error_code': 'model_unavailable'}}, 'user_id': 'user_3HAUot1uQY1gxzkyrPDs0hd4A1j'}"
v0_B_base_openrouter_20260729T150606014945,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R03_web_news_routing,False,wrong_tool,provider_error,lookup,,False,False,False,"InternalServerError: Error code: 503 - {'error': {'message': 'Provider returned error', 'code': 503, 'metadata': {'raw': '{""error"":{""code"":""model_unavailable"",""message"":""no online provider for model \\""gpt-oss-20b\\"" advertises inference-time tool_choice enforcement"",""param"":""model"",""type"":""model_unavailable""}}\n', 'provider_name': 'Darkbloom', 'is_byok': False, 'provider_error_code': 'model_unavailable'}}, 'user_id': 'user_3HAUot1uQY1gxzkyrPDs0hd4A1j'}"
v0_B_base_openrouter_20260729T150606014945,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R04_read_url_routing,False,wrong_tool,provider_error,fetch,,False,False,False,"InternalServerError: Error code: 503 - {'error': {'message': 'Provider returned error', 'code': 503, 'metadata': {'raw': '{""error"":{""code"":""model_unavailable"",""message"":""no online provider for model \\""gpt-oss-20b\\"" advertises inference-time tool_choice enforcement"",""param"":""model"",""type"":""model_unavailable""}}\n', 'provider_name': 'Darkbloom', 'is_byok': False, 'provider_error_code': 'model_unavailable'}}, 'user_id': 'user_3HAUot1uQY1gxzkyrPDs0hd4A1j'}"
